Wavenumber,SFG Intensity,Err,fitdata
2750.,636.013,0.11549,819.2235347677513
2755.,652.994,0.0692,814.8126965951908
2760.,658.465,0.03635,810.0847851145945
2765.,678.053,0.03191,805.0017445639032
2770.,691.825,0.04814,799.5187034942502
2775.,695.401,0.06336,793.5822750495363
2780.,704.471,0.0674,787.1282987151827
2785.,694.384,0.08379,780.0787937790129
2790.,710.638,0.0799,772.3377829161877
2795.,698.521,0.07461,763.7854734617855
2800.,704.943,0.06464,754.2700279500026
2805.,703.752,0.06002,743.5957973971501
2810.,702.961,0.05608,731.5064969062817
2815.,711.293,0.07386,717.6618337849841
2820.,707.63,0.08355,701.6086593481107
2825.,707.186,0.09588,682.76159240595
2830.,707.968,0.09075,660.4686606257454
2835.,715.942,0.09418,634.4755121219965
2840.,701.701,0.08997,606.8137583721137
2845.,645.435,0.08664,586.011374479597
2850.,592.466,0.09126,581.9770586670404
2855.,570.225,0.06914,578.8322304662887
2860.,586.048,0.06419,553.845430013822
2865.,524.861,0.06917,508.86846826306777
2870.,443.722,0.06984,464.3966655093574
2875.,408.174,0.08908,478.61745554687985
2880.,584.171,0.09578,599.1593988643781
2885.,733.723,0.08979,704.2103805149131
2890.,723.462,0.07597,723.3833200576915
2895.,686.775,0.07374,700.7927241813933
2900.,655.498,0.0614,671.075762530047
2905.,646.947,0.02223,651.4036903523913
2910.,640.186,0.02048,649.2926601491453
2915.,640.04,0.029,659.9430780997442
2920.,625.152,0.04829,669.5408251997302
2925.,613.513,0.08708,671.2297978504529
2930.,608.479,0.08514,676.2960541542202
2935.,660.544,0.08271,714.2387176716308
2940.,833.041,0.07648,823.5281925177965
2945.,977.023,0.07619,1018.8473942642208
2950.,922.402,0.0478,938.8602256162278
2955.,740.925,0.02816,738.0747047389666
2960.,692.474,0.03206,759.4403590470521
2965.,1053.444,0.02253,1046.4050846710832
2970.,1412.489,0.03136,1448.7645035547587
2975.,1464.3,0.03589,1476.184898836555
2980.,1391.789,0.02448,1423.2719689510182
2985.,1376.781,0.0456,1372.8535619179959
2990.,1361.682,0.04476,1331.9448359946728
2995.,1343.271,0.05522,1298.8173643055538
3000.,1325.214,0.05277,1271.482558641053
3005.,1325.719,0.03651,1248.4899550683533
3010.,1284.921,0.03232,1228.8298643258395
3015.,1289.903,0.03228,1211.7894847675707
3020.,1290.203,0.02839,1196.8523469987763
3025.,1296.337,0.03417,1183.6342618733781
3030.,1251.731,0.0512,1171.8426014434167
3035.,1257.797,0.06415,1161.2498549980105
3040.,1276.904,0.0685,1151.6759847955875
3045.,1254.919,0.088,1142.9763308390898
3050.,1245.039,0.08938,1135.0331093009465
